ecg,ecg1,ecg3,rrIntervalList
4855.552,9343.744,7726.592,
4761.6,9191.68,7773.952,
4755.712,9209.856,7779.584,
4851.2,9361.152,7722.496,
4844.544,9330.432,7712.512,
4739.84,9169.664,7775.488,
4756.992,9222.144,7781.888,
4864,9383.936,7729.408,
4870.656,9360.64,7718.4,
4769.024,9205.504,7770.112,
4758.016,9225.728,7781.632,
4862.208,9389.568,7720.96,
4873.728,9370.88,7722.24,
4773.632,9214.464,7772.672,
4772.096,9236.224,7783.168,
4866.816,9395.2,7712.256,
4852.48,9359.104,7703.552,
4747.776,9191.68,7782.912,
4865.024,9397.504,7730.176,
4868.608,9366.528,7720.96,
4765.44,9202.432,7775.232,
4767.744,9232.896,7780.352,
4869.376,9400.064,7718.4,
4862.464,9367.808,7718.4,
4759.552,9206.016,7774.464,
4764.16,9245.44,7790.08,
4879.36,9428.736,7711.488,
4880.896,9424.128,7686.912,
4778.24,9292.544,7722.496,
4798.208,9363.2,7705.856,
4997.376,9622.528,7627.264,
5049.6,9638.144,7601.664,
4854.784,9401.6,7660.544,
4758.784,9336.32,7681.792,
4859.392,9465.6,7641.6,
4898.304,9427.968,7656.96,
4837.888,9275.136,7736.832,
4898.304,9336.576,7756.288,
5021.952,9496.576,7702.272,
4971.264,9411.328,7698.688,
4744.448,9211.904,7769.344,
4827.904,9366.272,7717.632,
4827.136,9330.432,7717.376,
4727.296,9167.616,7775.232,
4731.392,9202.432,7792.384,
4837.632,9366.784,7734.528,
4836.352,9328.384,7726.592,
4736,9170.176,7762.688,
4747.008,9226.752,7757.568,
4871.424,9406.976,7711.232,
4880.896,9384.96,7703.296,
4753.408,9208.832,7757.568,
4718.592,9208.064,7766.272,
4801.792,9350.144,7719.68,
4799.744,9317.632,7713.28,
4716.032,9177.856,7753.216,
4736.256,9240.32,7747.584,
4854.528,9426.432,7681.024,
4907.776,9451.52,7660.8,
4935.168,9391.616,7700.736,
5063.168,9539.328,7652.608,
5175.296,9839.872,7535.36,
5185.28,10013.952,7671.296,
5289.472,10019.328,8171.264,
5065.984,9678.848,7609.344,
4817.152,9387.008,7261.184,
4785.152,9171.456,7570.944,
4840.704,9259.776,7713.024,
4966.4,9485.056,7650.56,
4968.192,9484.8,7616.512,
4875.008,9325.568,7638.016,
4885.76,9367.296,7620.096,
4983.04,9527.808,7566.336,
4963.072,9465.856,7581.44,
4867.328,9300.736,7652.864,
4874.496,9341.696,7668.736,
4977.152,9502.208,7625.216,
4972.544,9460.48,7626.24,
4896.768,9322.24,7679.488,
4939.264,9393.92,7683.072,
5109.248,9608.96,7631.36,
5133.056,9593.344,7618.56,
4967.168,9370.624,7670.272,
4884.736,9325.056,7696.128,
4946.688,9445.888,7649.024,
4945.92,9406.72,7658.752,
4903.168,9343.488,7712.256,
5032.192,9524.224,7655.168,
5032.192,9475.84,7659.52,
4937.216,9311.488,7713.28,
4966.912,9378.816,7710.208,
5106.688,9572.352,7661.056,
5113.6,9525.248,7654.144,
5011.2,9355.264,7710.208,
5026.816,9400.064,7710.72,
5144.064,9559.04,7658.752,
5161.728,9517.056,7657.984,
5124.096,9393.152,7709.184,
5185.28,9478.144,7720.192,
5282.816,9624.32,7666.176,
5244.416,9522.176,7670.016,
5107.712,9313.28,7744.512,
5109.76,9342.72,7756.288,
5244.16,9505.536,7715.328,
5288.192,9484.032,7723.264,
5232.896,9351.168,7777.536,
5281.024,9416.192,7771.904,
5414.144,9581.312,7710.72,
5437.44,9539.584,7715.84,
5387.008,9416.192,7778.816,
5451.52,9500.928,7773.184,
5591.552,9675.264,7716.608,
5594.368,9624.832,7714.048,
5464.576,9443.328,7774.208,
5478.144,9512.704,7762.176,
5592.576,9697.536,7681.024,
5532.928,9623.808,7665.408,
5377.792,9448.704,7704.576,
5377.536,9528.832,7664.128,
5456.896,9709.568,7562.496,
5335.552,9599.488,7531.264,
5086.464,9359.36,7582.208,
5004.8,9373.696,7551.488,
5020.928,9466.112,7563.008,
4897.28,9310.976,7614.976,
4889.856,9364.736,7616.512,
4966.144,9509.888,7586.048,
4930.048,9446.4,7610.112,
4823.552,9290.24,7665.408,
4838.144,9347.072,7666.688,
4935.168,9502.72,7614.976,
4902.912,9430.528,7626.752,
4800.256,9278.976,7688.192,
4824.576,9342.464,7692.288,
4931.072,9494.272,7644.416,
4914.944,9437.184,7638.016,
4811.264,9290.496,7678.72,
4833.28,9353.216,7673.856,
4936.704,9504.768,7627.264,
4921.088,9448.448,7635.2,
4819.712,9300.736,7685.888,
4832.768,9354.752,7690.752,
4931.84,9499.392,7634.176,
4912.896,9428.224,7638.272,
4820.48,9353.984,7666.176,
4943.616,9489.152,7618.816,
4925.184,9426.688,7620.096,
4832.512,9264.384,7634.944,
4861.44,9321.216,7625.472,
4959.488,9501.44,7600.128,
4934.656,9471.744,7630.592,
4843.52,9349.632,7687.936,
4879.616,9426.176,7674.112,
4978.944,9569.024,7606.272,
4942.336,9491.2,7602.432,
4838.144,9340.416,7671.296,
4864,9410.816,7662.848,
4960,9551.872,7619.072,
4924.16,9473.792,7653.888,
4824.064,9334.272,7697.664,
4854.272,9409.792,7675.648,
4953.6,9552.64,7624.704,
4930.048,9481.216,7652.608,
4841.472,9349.376,7700.992,
4878.592,9436.928,7674.624,
4994.56,9599.488,7611.904,
4945.152,9507.328,7627.776,
4809.216,9334.784,7684.864,
4806.4,9372.672,7683.328,
4895.488,9501.44,7652.608,
4883.456,9442.816,7671.04,
4798.208,9315.328,7707.392,
4823.552,9384.192,7693.824,
4912.128,9513.472,7648.512,
4879.104,9430.784,7668.224,
4792.32,9296.128,7706.112,
4814.08,9368.576,7691.264,
4909.568,9505.536,7636.48,
4885.248,9432.32,7647.488,
4790.784,9291.52,7713.536,
4818.944,9363.456,7697.664,
4918.528,9499.904,7640.576,
4909.568,9438.976,7646.464,
4826.368,9314.56,7693.824,
4841.728,9381.12,7682.048,
4911.872,9493.248,7635.2,
4865.792,9397.248,7642.624,
4773.376,9262.08,7694.08,
4821.504,9353.984,7687.936,
4925.696,9501.184,7629.824,
4886.016,9418.496,7646.208,
4772.352,9265.408,7708.672,
4794.368,9339.904,7696.128,
4896.512,9487.616,7650.56,
4858.368,9405.44,7675.648,
4752.64,9261.312,7713.792,
4792.32,9347.584,7694.08,
4903.168,9499.392,7629.312,
4870.4,9422.336,7632.384,
4767.488,9279.232,7696.896,
4797.184,9351.936,7693.056,
4890.624,9481.216,7648,
4851.968,9401.856,7656.96,
4758.528,9275.904,7700.992,
4794.368,9358.336,7687.424,
4886.528,9483.52,7644.928,
4856.832,9405.184,7657.472,
4768.768,9284.352,7702.272,
4802.048,9365.504,7685.12,
4893.696,9491.2,7634.944,
4840.96,9392.64,7663.104,
4740.864,9256.192,7706.88,
4796.672,9355.776,7686.4,
4906.496,9501.696,7642.624,
4859.648,9404.928,7661.312,
