ecg,ecg2,ecg3,rrIntervalList
9812.48,8144.128,316.672
9819.392,8179.968,257.024
9779.2,8174.592,218.88
9788.672,8113.408,244.48
9855.744,8115.712,267.776
9850.624,8190.72,252.672
9759.232,8198.912,268.032
9691.136,8101.376,321.792
9693.696,8017.408,329.984
9724.416,8092.416,285.184
9754.624,8177.152,238.08
9785.6,8156.416,256.0
9798.912,8099.84,281.6
9750.016,8116.736,264.448
9684.224,8122.368,250.88
9695.744,8078.336,273.152
9764.864,8064.0,271.872
9769.472,8134.4,241.92
9747.712,8195.072,236.544
9769.984,8164.352,275.2
9783.552,8086.016,267.776
9735.936,8110.08,243.2
9671.936,8122.624,238.592
9647.616,8076.032,304.896
9645.568,8104.704,427.008
9721.344,8297.984,473.088
9853.44,8408.576,377.856
9959.68,8330.24,252.16
10229.504,8444.928,98.304
10616.832,9033.984,16722.432
10880.768,9690.368,16623.616
10929.92,9902.08,16479.488
10665.984,9627.904,16415.488
10288.64,9041.92,16368.128
9952.768,8490.24,16452.864
9848.832,8199.424,16634.112
9921.024,8149.76,16765.696
9929.472,8324.608,123.648
9854.208,8416.768,209.152
9793.28,8318.464,268.544
9791.488,8232.192,292.864
9778.176,8279.296,284.416
9726.464,8294.4,275.2
9732.608,8229.376,286.976
9782.272,8185.856,279.808
9773.568,8247.04,262.912
9719.552,8271.872,250.88
9703.936,8201.984,269.056
9745.92,8165.376,273.408
9790.72,8270.08,245.248
9785.856,8318.72,213.248
9760.256,8228.608,228.352
9778.176,8167.68,240.896
9785.856,8246.016,228.608
9767.936,8291.328,204.288
9778.688,8245.248,227.84
9803.264,8189.44,227.072
9834.752,8280.832,189.696
9862.912,8377.6,172.544
9844.224,8312.064,211.968
9823.744,8216.832,218.624
9833.216,8289.28,182.272
9838.336,8354.048,150.272
9851.136,8303.872,156.416
9907.968,8279.552,154.112
9967.872,8404.736,120.576
9982.208,8478.72,76.288
9979.648,8409.088,86.784
10006.528,8357.632,88.832
9997.568,8421.888,64.512
9979.136,8480.0,49.408
10045.184,8488.448,63.744
10108.928,8461.312,47.616
10098.944,8513.28,13.056
10096.128,8582.656,16773.888
10104.064,8532.224,10.24
10098.176,8434.944,2.56
10068.224,8477.952,16769.28
10035.2,8519.936,16770.048
10034.432,8456.96,23.04
10044.416,8383.744,39.936
9988.608,8395.008,34.816
9910.016,8396.8,41.984
9910.016,8349.44,86.272
9911.296,8271.872,106.496
9836.544,8266.496,101.12
9754.624,8244.48,70.4
9750.784,8171.264,84.224
9808.128,8136.96,82.688
9828.608,8211.712,49.664
9771.264,8229.376,38.656
9743.616,8142.592,64.0
9784.576,8096.768,59.136
9816.32,8190.72,32.512
9757.952,8198.912,22.528
9714.176,8103.936,49.664
9737.984,8036.864,47.104
9763.072,8119.296,23.296
9756.672,8186.368,3.584
9740.8,8107.52,15.104
